center_adv,threats_me_3,threats_opp_3,open_threats_me,open_threats_opp,pairs_me,pairs_opp,pop_me,pop_opp,col_h_0,col_h_1,col_h_2,col_h_3,col_h_4,col_h_5,col_h_6,my_col_0,my_col_1,my_col_2,my_col_3,my_col_4,my_col_5,my_col_6,opp_col_0,opp_col_1,opp_col_2,opp_col_3,opp_col_4,opp_col_5,opp_col_6,phase,lr_balance,move
mid,0,0,0,0,2,1,2,3,low,low,mid,low,low,low,low,1,1,1,0,0,0,0,0,0,1,0,0,1,1,early,high,3_put
mid,0,0,0,0,1,3,3,3,low,low,mid,low,low,low,low,0,0,1,0,0,1,1,1,1,1,1,0,0,0,early,mid,4_put
mid,0,1,0,0,3,2,3,4,low,low,mid,low,low,low,low,1,1,1,1,0,0,0,0,0,1,0,1,1,1,early,high,4_put
mid,1,0,0,0,2,4,4,3,low,low,mid,low,mid,low,low,0,0,1,0,1,1,1,1,1,1,1,1,0,0,mid,mid,4_put
mid,0,1,0,0,4,2,3,4,low,low,mid,low,mid,low,low,1,1,1,1,1,0,0,0,0,1,0,2,1,1,mid,high,1_put
mid,1,0,0,1,2,6,4,3,low,mid,mid,low,mid,low,low,0,0,1,0,2,1,1,1,2,1,1,1,0,0,mid,low,4_pop
mid,0,0,0,0,6,2,4,3,low,mid,mid,low,mid,low,low,1,2,1,1,1,0,0,0,0,1,0,1,1,1,mid,high,5_put
mid,0,0,0,0,2,6,3,4,low,mid,mid,low,mid,mid,low,0,0,1,0,1,1,1,1,2,1,1,1,1,0,mid,mid,6_put
mid,0,0,0,0,6,4,4,3,low,mid,mid,low,mid,mid,mid,1,2,1,1,1,1,0,0,0,1,0,1,1,2,mid,high,4_pop
mid,1,0,0,0,4,6,4,3,low,mid,mid,low,low,mid,mid,0,0,1,0,1,1,2,1,2,1,1,0,1,0,mid,low,0_put
mid,0,1,0,0,6,4,3,4,mid,mid,mid,low,low,mid,mid,1,2,1,1,0,1,0,1,0,1,0,1,1,2,mid,high,0_put
